Date,HomeTeam,AwayTeam,1,X,2,Result
2022-01-02,Brentford,Aston Villa,3.0,3.3,2.4,1
2022-01-02,Leeds,Burnley,2.05,3.5,3.5,1
2022-01-02,Chelsea,Liverpool,3.1,3.5,2.25,X
2022-01-02,Everton,Brighton,2.75,3.2,2.62,2
2022-01-03,Man United,Wolves,1.53,4.33,6.0,2
2022-01-11,Southampton,Brentford,2.05,3.4,3.6,1
2022-01-12,West Ham,Norwich,1.28,5.5,10.0,1
2022-01-14,Brighton,Crystal Palace,2.05,3.3,3.8,X
2022-01-15,Man City,Chelsea,1.65,4.0,5.0,1
2022-01-15,Newcastle,Watford,2.0,3.6,3.6,X
2022-01-15,Norwich,Everton,3.75,3.5,2.0,1
2022-01-15,Wolves,Southampton,2.25,3.2,3.4,1
2022-01-15,Aston Villa,Man United,2.87,3.5,2.4,X
2022-01-16,West Ham,Leeds,1.61,4.2,5.0,2
2022-01-16,Liverpool,Brentford,1.3,5.5,10.0,1
2022-01-18,Brighton,Chelsea,4.75,3.75,1.72,X
2022-01-19,Brentford,Man United,4.5,3.7,1.8,2
2022-01-19,Leicester,Tottenham,3.0,3.5,2.3,2
2022-01-21,Watford,Norwich,2.0,3.5,3.75,2
2022-01-22,Everton,Aston Villa,2.75,3.25,2.62,2
2022-01-22,Brentford,Wolves,3.2,2.8,2.6,2
2022-01-22,Leeds,Newcastle,2.0,3.5,3.75,2
2022-01-22,Man United,West Ham,1.85,3.8,4.0,1
2022-01-22,Southampton,Man City,10.0,6.5,1.25,X
2022-01-23,Crystal Palace,Liverpool,6.0,4.2,1.53,2
2022-01-23,Leicester,Brighton,2.5,3.25,2.9,X
2022-01-23,Chelsea,Tottenham,1.61,4.2,5.0,1
2022-01-23,Arsenal,Burnley,1.36,4.75,9.0,X
2022-02-05,Burnley,Watford,2.2,3.25,3.5,X
2022-02-08,Newcastle,Everton,2.5,3.25,2.87,1
2022-02-08,West Ham,Watford,1.55,4.2,5.75,1
2022-02-08,Burnley,Man United,5.5,4.0,1.61,X
2022-02-09,Man City,Brentford,1.1,9.5,23.0,1
2022-02-09,Norwich,Crystal Palace,3.5,3.25,2.15,X
2022-02-09,Tottenham,Southampton,1.6,4.0,5.5,2
2022-02-09,Aston Villa,Leeds,1.8,3.8,4.2,X
2022-02-10,Wolves,Arsenal,3.5,3.2,2.2,2
2022-02-10,Liverpool,Leicester,1.25,6.5,10.0,1
2022-02-12,Norwich,Man City,15.0,8.0,1.16,2
2022-02-12,Watford,Brighton,3.5,3.3,2.05,2
2022-02-12,Man United,Southampton,1.6,4.0,5.5,X
2022-02-12,Brentford,Crystal Palace,2.55,3.1,3.0,X
